
Gurobi 12.0.2 (win64) logging started Tue Nov 18 11:17:18 2025

Set parameter LogFile to value "resultados DATA_1_n20m10b2d1\instancia_6_log.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 2 physical cores, 4 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  3600

Optimize a model with 4870 rows, 22732 columns and 3270408 nonzeros
Model fingerprint: 0x247ce481
Variable types: 0 continuous, 22732 integer (22732 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-02, 5e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 6e+01]
Found heuristic solution: objective 0.8088750
Presolve removed 199 rows and 6766 columns (presolve time = 5s)...
Presolve removed 276 rows and 6766 columns (presolve time = 10s)...
Presolve removed 276 rows and 6766 columns (presolve time = 15s)...
Presolve removed 276 rows and 6766 columns (presolve time = 20s)...
Presolve removed 276 rows and 6766 columns (presolve time = 25s)...
Presolve removed 276 rows and 6766 columns
Presolve time: 26.42s
Presolved: 4594 rows, 15966 columns, 2224732 nonzeros
Found heuristic solution: objective 0.4608750
Variable types: 0 continuous, 15966 integer (15966 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   65001    9.9933140e-01   0.000000e+00   1.451051e+02   1373s
   65121    9.9933245e-01   0.000000e+00   1.022795e+02   1376s
   65361    9.9933454e-01   0.000000e+00   2.564741e+01   1383s
   65481    9.9933550e-01   0.000000e+00   3.346825e+02   1386s
   65721    9.9933700e-01   0.000000e+00   3.454784e+02   1393s
   65841    9.9933785e-01   0.000000e+00   5.124512e+01   1397s
   65961    9.9933887e-01   0.000000e+00   5.064405e+01   1401s
   66211    9.9934052e-01   0.000000e+00   1.543680e+02   1408s
   66331    9.9934133e-01   0.000000e+00   7.189073e+01   1412s
   66451    9.9934216e-01   0.000000e+00   5.194138e+01   1415s
   66701    9.9934354e-01   0.000000e+00   2.005215e+02   1422s
   66821    9.9934433e-01   0.000000e+00   4.146617e+01   1426s
   67061    9.9934574e-01   0.000000e+00   4.340020e+01   1432s
   67181    9.9934630e-01   0.000000e+00   3.660763e+01   1436s
   67421    9.9934747e-01   0.000000e+00   6.475263e+01   1443s
   67541    9.9934820e-01   0.000000e+00   1.275193e+01   1446s
   67791    9.9934972e-01   0.000000e+00   1.464664e+01   1454s
   67911    9.9935045e-01   0.000000e+00   3.522324e+01   1458s
   68031    9.9935110e-01   0.000000e+00   1.216579e+01   1462s
   68271    9.9935272e-01   0.000000e+00   2.627257e+01   1468s
   68391    9.9935334e-01   0.000000e+00   5.782270e+01   1472s
   68511    9.9935402e-01   0.000000e+00   2.786546e+01   1475s
   68751    9.9935607e-01   0.000000e+00   5.740429e+01   1482s
   68871    9.9935678e-01   0.000000e+00   2.101716e+01   1486s
   69121    9.9935812e-01   0.000000e+00   4.669651e+01   1493s
   69241    9.9935877e-01   0.000000e+00   9.514403e+01   1496s
   69481    9.9936027e-01   0.000000e+00   2.005325e+01   1503s
   69601    9.9936117e-01   0.000000e+00   4.927989e+02   1507s
   69721    9.9936189e-01   0.000000e+00   1.073384e+02   1510s
   69961    9.9936317e-01   0.000000e+00   2.040956e+01   1518s
   70081    9.9936388e-01   0.000000e+00   5.889399e+01   1522s
   70201    9.9936460e-01   0.000000e+00   6.923520e+01   1525s
   70441    9.9936586e-01   0.000000e+00   1.222148e+01   1532s
   70561    9.9936640e-01   0.000000e+00   6.730742e+01   1535s
   70801    9.9936719e-01   0.000000e+00   3.620612e+01   1542s
   70921    9.9936765e-01   0.000000e+00   1.488542e+02   1546s
   71161    9.9936904e-01   0.000000e+00   1.206606e+02   1553s
   71281    9.9936987e-01   0.000000e+00   9.261012e+01   1556s
   71521    9.9937114e-01   0.000000e+00   3.266992e+01   1563s
   71641    9.9937172e-01   0.000000e+00   9.206824e+01   1567s
   71761    9.9937241e-01   0.000000e+00   1.218041e+02   1570s
   72011    9.9937353e-01   0.000000e+00   3.555765e+01   1578s
   72131    9.9937398e-01   0.000000e+00   2.391218e+01   1582s
   72371    9.9937502e-01   0.000000e+00   4.539436e+01   1588s
   72491    9.9937557e-01   0.000000e+00   2.174300e+01   1592s
   72611    9.9937625e-01   0.000000e+00   8.112380e+00   1595s
